remitente;destinatarios;asunto;cuerpo;fecha_hora;frecuencia_palabras_spam;reputacion_dominio_remitente;cantidad_destinatarios_visibles;presencia_y_numero_urls;relacion_texto_html;autenticidad_remitente;personalizacion_saludo;adjuntos_peligrosos;uso_simbolos_excesivos;scripts_o_formularios;etiqueta
maria@example.com;juan@example.com;Reunión de trabajo;Nos vemos mañana a las 3pm para la reunión del proyecto X.;2024-07-29 08:00:00;0;comun;1;0;0.95;Pass;0;0;0;0;HAM
premio_mayor@lucky.com;usuario11@example.com,usuario12@example.com;¡Ha ganado un premio!;Felicidades, ha ganado un premio millonario. Reclámelo aquí;2024-07-21 15:45:00;5;lista_negra;2;1;0.3;Fail;1;1;2;1;SPAM
notificacion@bank.com.co;cliente2@banco.com.co;Actualización de cuenta;Por favor, actualice su información bancaria;2024-07-30 17:30:00;2;sospechoso;1;1;0.7;Fail;1;0;1;0;SPAM
ana@example.com;pedro@example.com;Paseo al parque;Nos vemos mañana a las 5pm en el parque.;2024-07-20 13:00:00;0;comun;1;0;0.8;Pass;0;0;0;0;HAM
oferta_unica@deals.com;usuario13@example.com;Oferta limitada;Aproveche esta oferta única por tiempo limitado;2024-07-31 19:00:00;3;sospechoso;1;1;0.4;Fail;1;0;2;0;SPAM
correo_importante@info.com;usuario14@example.com;Información crucial;Este correo contiene información crucial;2024-08-01 10:15:00;1;sospechoso;1;0;0.9;Neutral;1;0;1;0;SPAM
jose@example.com;sofia@example.com;Cena esta noche;Te espero esta noche para cenar a las 8pm.;2024-08-02 14:30:00;0;comun;1;0;1.0;Pass;0;0;0;0;HAM
inversion_millonaria@invest.com;usuario15@example.com,usuario16@example.com,usuario17@example.com;Invierta ahora!;Invierta su dinero y gane millones. ¡Contáctenos ahora!;2024-08-03 11:45:00;5;lista_negra;3;2;0.25;Fail;1;1;1;3;SPAM
gran_oportunidad@chance.com;usuario18@example.com;Oportunidad única;No pierda esta oportunidad única;2024-08-04 09:00:00;2;sospechoso;1;1;0.6;Fail;1;0;1;0;SPAM
luis@example.com;laura@example.com;Fin de semana;Que tengas un excelente fin de semana.;2024-08-05 16:00:00;0;comun;1;0;0.98;Pass;0;0;0;0;HAM
regalo_gratis@free.com;usuario19@example.com;Regalo gratis;Reciba un regalo gratis;2024-08-06 13:15:00;1;sospechoso;1;1;0.5;Fail;1;0;1;0;SPAM
premio_garantizado@win.com;usuario20@example.com,usuario21@example.com;¡Premio garantizado!;¡Ha ganado un premio garantizado!;2024-08-07 18:45:00;3;lista_negra;2;1;0.3;Fail;1;1;2;1;SPAM
beca_universitaria@edu.com;estudiante1@uni.edu.co;Beca universitaria;Aplica para una beca universitaria;2024-08-08 10:30:00;1;comun;1;0;0.9;Pass;0;0;0;0;HAM
oferta_imperdible@shop.com;usuario22@example.com;Oferta imperdible;¡Oferta imperdible por tiempo limitado!;2024-08-09 15:00:00;2;sospechoso;1;1;0.4;Fail;1;0;1;0;SPAM
dinero_rapido@fast.com;usuario23@example.com,usuario24@example.com;Dinero rápido y fácil;Obtenga dinero rápido y fácil;2024-08-10 12:15:00;4;lista_negra;2;2;0.2;Fail;1;1;2;1;SPAM
camilo@example.com;diana@example.com;Feliz cumpleaños;Feliz cumpleaños, que tengas un gran día.;2024-08-11 09:45:00;0;comun;1;0;1.0;Pass;0;0;0;0;HAM
sorteo_millonario@lot.com;usuario25@example.com;Sorteo millonario;Participe en nuestro sorteo millonario;2024-08-12 17:30:00;3;sospechoso;1;1;0.5;Fail;1;0;2;0;SPAM
viaje_gratis@travel.com;usuario26@example.com,usuario27@example.com;Viaje gratis;Gane un viaje gratis;2024-08-13 14:00:00;2;lista_negra;2;1;0.3;Fail;1;1;1;1;SPAM
remitente;destinatarios;asunto;cuerpo;fecha_hora;frecuencia_palabras_spam;reputacion_dominio_remitente;cantidad_destinatarios_visibles;presencia_y_numero_urls;relacion_texto_html;autenticidad_remitente;personalizacion_saludo;adjuntos_peligrosos;uso_simbolos_excesivos;scripts_o_formularios;etiqueta
bancocolombia.ofertas@example.com;usuario1@example.com,usuario2@example.com,usuario3@example.com;¡Gane un Millón!;Felicidades! Ha ganado un millón de pesos. ¡Reclame su premio ahora!  Enlace: [url_maliciosa];2024-03-08 10:30:00;5;sospechoso;3;2;0.2;Fail;1;1;3;1;SPAM
ofertas_increibles@example.net;cliente@example.com;Oferta Exclusiva;Aproveche nuestra increíble oferta. ¡Compre ahora! ;2024-03-08 14:45:00;4;sospechoso;1;1;0.1;Fail;1;0;2;0;SPAM
soporte_tecnico@example.org;usuario4@example.com;Actualice su software;Su software necesita una actualización urgente. Descargue aquí: [url_maliciosa];2024-03-07 16:20:00;3;lista_negra;1;1;0.3;Fail;1;0;1;0;SPAM
amigo@example.com;familiar@example.com;Cena Familiar;Hola, ¿cómo estás? Te quería invitar a cenar el sábado.;2024-03-09 19:00:00;0;comun;1;0;0.8;Pass;0;0;0;0;HAM
ganapremio@example.info;usuario5@example.com,usuario6@example.com;¡Premio Mayor!;¡Ha ganado el premio mayor! Haga clic aquí para reclamarlo: [enlace_phishing];2024-03-06 11:15:00;6;sospechoso;2;3;0.1;Fail;1;1;4;1;SPAM
notificaciones@example.com;cliente2@example.com;Factura pendiente;Tiene una factura pendiente. Paguela ahora para evitar inconvenientes. ;2024-03-10 09:50:00;2;comun;1;0;0.9;Pass;1;0;1;0;HAM
megaoferta@example.net;usuario7@example.com,usuario8@example.com,usuario9@example.com;¡No lo pierda!;Aproveche esta mega oferta por tiempo limitado. ¡Compre ya!;2024-03-05 13:30:00;3;sospechoso;3;2;0.2;Fail;1;1;2;1;SPAM
contacto@example.org;usuario10@example.com;Reunion de trabajo;Nos vemos mañana a las 10am;2024-03-11 15:00:00;0;comun;1;0;0.9;Pass;0;0;0;0;HAM
ofertas_especiales@example.com;usuario11@example.com;¡Gane un carro!;Participe para ganar un carro nuevo. ¡Inscríbase ahora!;2024-03-04 17:45:00;4;sospechoso;1;2;0.15;Fail;1;1;3;1;SPAM
informacion_importante@example.net;usuario12@example.com;Información crucial;¡Atención! Información importante que necesita saber. ;2024-03-12 12:20:00;2;sospechoso;1;1;0.2;Fail;1;0;2;0;SPAM
javier@example.com;ana@example.com;cita medica;Recuerda tu cita medica mañana a las 9am;2024-03-13 08:00:00;0;comun;1;0;0.9;Pass;0;0;0;0;HAM
premio_millonario@example.org;usuario13@example.com,usuario14@example.com;¡Millones de pesos!;¡Felicidades! Ha ganado millones de pesos. Reclame su premio ahora. ;2024-03-03 09:30:00;5;lista_negra;2;1;0.1;Fail;1;1;2;1;SPAM
correo_importante@example.com;usuario15@example.com;Actualizacion de cuenta;Por favor, actualice su información de cuenta. ;2024-03-14 11:45:00;1;sospechoso;1;1;0.8;Neutral;1;0;1;0;SPAM
maria@example.com;pedro@example.com;cumpleaños;Feliz cumpleaños!!;2024-03-15 14:00:00;0;comun;1;0;1.0;Pass;0;0;0;0;HAM
super_oferta@example.net;usuario16@example.com;Oferta irresistible;¡No deje pasar esta oferta irresistible!;2024-03-02 16:15:00;3;sospechoso;1;1;0.2;Fail;1;0;2;1;SPAM
gran_premio@example.info;usuario17@example.com;Gane un viaje!;¡Ha ganado un viaje a las playas del caribe! ;2024-03-01 10:00:00;4;sospechoso;1;2;0.1;Fail;1;1;3;1;SPAM
jose@example.com;sofia@example.com;Plan de fin de semana;Vamos al cine este fin de semana?;2024-03-16 18:30:00;0;comun;1;0;0.9;Pass;0;0;0;0;HAM
oferta_unica@example.com;usuario18@example.com;¡Oferta del día!;No se pierda la oferta del día, solo por hoy! ;2024-03-17 13:45:00;2;sospechoso;1;1;0.3;Fail;1;0;1;0;SPAM
luis@example.net;ana@example.com,juan@example.com;Reunion familiar;Nos vemos el domingo a las 2pm;2024-03-18 10:15:00;0;comun;2;0;1.0;Pass;0;0;0;0;HAM
promoción_exclusiva@example.org;usuario19@example.com,usuario20@example.com;¡Última oportunidad!;No deje pasar esta promoción, ¡apurese!;2024-03-19 16:30:00;3;sospechoso;2;1;0.2;Fail;1;1;2;1;SPAM
gran_oportunidad@example.com;usuario21@example.com;Gane un computador!;Participe en la rifa y gane un computador. ;2024-03-20 08:45:00;4;sospechoso;1;2;0.1;Fail;1;1;3;1;SPAM
sorteo_premios@example.net;usuario22@example.com;¡Premios increíbles!;¡Gane premios increíbles! Participe ahora;2024-03-21 12:00:00;3;sospechoso;1;1;0.2;Fail;1;1;2;1;SPAM
pablo@example.com;laura@example.com;Salida al parque;Te gustaría ir al parque mañana?;2024-03-22 15:15:00;0;comun;1;0;0.8;Pass;0;0;0;0;HAM
oferta_limitada@example.org;usuario23@example.com;¡Oferta limitada!;Aproveche nuestra oferta por tiempo limitado. ;2024-03-23 18:00:00;2;sospechoso;1;1;0.3;Fail;1;0;1;0;SPAM
carlos@example.com;sofia@example.com;Cita para almuerzo;Nos vemos para almorzar el jueves?;2024-03-24 11:30:00;0;comun;1;0;0.9;Pass;0;0;0;0;HAM
remitente;destinatarios;asunto;cuerpo;fecha_hora;frecuencia_palabras_spam;reputacion_dominio_remitente;cantidad_destinatarios_visibles;presencia_y_numero_urls;relacion_texto_html;autenticidad_remitente;personalizacion_saludo;adjuntos_peligrosos;uso_simbolos_excesivos;scripts_o_formularios;etiqueta
oferta_increible@gmail.com;usuario1@example.com,usuario2@example.com,usuario3@example.com;¡Gane un Millón!;Gane un millón de pesos colombiano con nuestra increíble oferta. ¡Inscríbase ahora!;2023-10-26 10:30:00;5;sospechoso;3;2;0.2;Fail;1;1;3;1;SPAM
ganador_premio@hotmail.com;usuario4@example.com,usuario5@example.com;¡Felicidades! ¡Has ganado!;¡Has ganado un premio! Reclámalo aquí: [enlace sospechoso];2023-10-27 14:45:00;4;lista_negra;2;1;0.1;Fail;1;0;2;0;SPAM
banco_colombia@fraud.com;usuario6@example.com;Actualización de seguridad;Estimado cliente, actualice su información bancaria aquí: [enlace malicioso];2023-10-28 09:15:00;6;lista_negra;1;1;0.3;Fail;1;0;5;1;SPAM
amigo@example.com;usuario7@example.com;Cita para café;¿Te gustaría tomar un café mañana?;2023-10-29 16:00:00;0;comun;1;0;0.8;Pass;0;0;0;0;HAM
superoferta@spam.net;usuario8@example.com,usuario9@example.com,usuario10@example.com;¡Oferta irresistible!;No te pierdas esta increíble oferta. ¡Compra ahora!;2023-10-30 11:20:00;7;sospechoso;3;3;0.1;Fail;1;1;6;1;SPAM
soporte_tecnico@fake.com;usuario11@example.com;Problema con su cuenta;Tenemos un problema con su cuenta. Haga clic aquí: [enlace falso];2023-10-31 18:30:00;3;lista_negra;1;1;0.2;Fail;1;0;2;0;SPAM
notificaciones@example.com;usuario12@example.com;Nueva solicitud de amistad;Alguien quiere ser tu amigo en nuestra red social.;2023-11-01 15:00:00;1;comun;1;0;0.9;Pass;0;0;0;0;HAM
ofertas_diarias@spam.com;usuario13@example.com;¡Ofertas del día!;Aprovecha las ofertas del día. ¡Compra ahora!;2023-11-02 12:45:00;4;sospechoso;2;2;0.1;Fail;1;1;3;1;SPAM
remate@example.com;usuario14@example.com;Remate de carros;Gran remate de carros usados. ¡Aprovecha!;2023-11-03 09:30:00;2;comun;1;0;0.7;Neutral;1;0;1;0;HAM
premio_mayor@spam.org;usuario15@example.com,usuario16@example.com;¡Ha ganado el premio mayor!;¡Felicidades! Ha ganado nuestro premio mayor. Reclame su premio aquí;2023-11-04 17:15:00;8;lista_negra;2;1;0.1;Fail;1;0;7;1;SPAM
invitacion@example.com;usuario17@example.com;Cumpleaños de Juan;¡Celebra el cumpleaños de Juan!;2023-11-05 14:00:00;0;comun;1;0;0.9;Pass;0;0;0;0;HAM
correo_importante@example.com;usuario18@example.com;Información importante;Tiene un mensaje importante que revisar.;2023-11-06 11:30:00;1;comun;1;0;0.8;Pass;0;0;1;0;HAM
oferta_increible2@spam.net;usuario19@example.com,usuario20@example.com;Super oferta!!;No te pierdas esta super oferta. Adjunto catálogo;2023-11-07 10:00:00;5;sospechoso;2;1;0.2;Fail;1;1;4;1;SPAM
ganancias_extra@spam.com;usuario21@example.com;Gane dinero facil;Gane dinero facil y rapido desde casa. ¡Inscribase ya!;2023-11-08 13:45:00;6;lista_negra;3;2;0.1;Fail;1;1;5;1;SPAM
actualizacion_sistema@fake.com;usuario22@example.com;Actualice su sistema;Su sistema necesita una actualizacion urgente. Descarga aqui: [enlace peligroso];2023-11-09 16:30:00;4;lista_negra;1;1;0.2;Fail;1;0;3;0;SPAM
reunion_trabajo@example.com;usuario23@example.com;Reunión de trabajo;Recordatorio de reunión de trabajo a las 10 AM;2023-11-10 09:00:00;0;comun;1;0;0.9;Pass;0;0;0;0;HAM
oferta_limitada@spam.org;usuario24@example.com;Oferta limitada!;Oferta limitada por tiempo limitado. ¡Aproveche!;2023-11-11 12:15:00;3;sospechoso;2;2;0.1;Fail;1;1;2;1;SPAM
premio_garantizado@spam.net;usuario25@example.com;¡Premio garantizado!;¡Ha ganado un premio! ¡Reclámelo ahora!;2023-11-12 15:45:00;7;lista_negra;3;1;0.1;Fail;1;0;6;1;SPAM
compra_segura@example.com;usuario26@example.com;Confirmación de compra;Gracias por su compra. Adjunto factura;2023-11-13 10:30:00;1;comun;1;1;0.7;Pass;0;0;0;0;HAM
evento_especial@example.com;usuario27@example.com;Invitación a evento;Te invitamos a nuestro evento especial. Detalles en el enlace;2023-11-14 14:00:00;0;comun;1;1;0.8;Pass;0;0;1;0;HAM
oferta_unica@spam.com;usuario28@example.com,usuario29@example.com;¡Oferta única!;No te pierdas esta única oportunidad. ¡Compra ahora!;2023-11-15 11:15:00;4;sospechoso;2;2;0.2;Fail;1;1;3;1;SPAM
notificacion_sistema@example.com;usuario30@example.com;Actualización de software;Actualice su software para mejorar la seguridad;2023-11-16 18:00:00;1;comun;1;0;0.9;Pass;0;0;1;0;HAM
urgente_importante@spam.net;usuario31@example.com,usuario32@example.com;¡Urgente! ¡Importante!;Mensaje urgente e importante. ¡Actúe ahora!;2023-11-17 09:45:00;5;sospechoso;2;1;0.2;Fail;1;0;4;1;SPAM
oferta_exclusiva@spam.org;usuario33@example.com;Oferta exclusiva para usted;Oferta exclusiva solo para usted. ¡Aproveche!;2023-11-18 13:30:00;3;lista_negra;1;2;0.1;Fail;1;1;2;1;SPAM
remitente;destinatarios;asunto;cuerpo;fecha_hora;frecuencia_palabras_spam;reputacion_dominio_remitente;cantidad_destinatarios_visibles;presencia_y_numero_urls;relacion_texto_html;autenticidad_remitente;personalizacion_saludo;adjuntos_peligrosos;uso_simbolos_excesivos;scripts_o_formularios;etiqueta
OfertasIncreíbles@ganamás.com;usuario1@gmail.com,usuario2@hotmail.com,usuario3@outlook.com;¡Gane Millones!;Gane dinero fácil. ¡Inscríbase ahora!  Adjunte el formulario para más información.;2024-07-26 10:30:00;5;sospechoso;3;2;0.1;Fail;1;1;8;1;SPAM
bancocolombia@seguridad.co;cliente1@bancocolombia.com;Actualización de Seguridad;Estimado cliente, actualice su información bancaria aquí: [enlace sospechoso].;2024-07-26 12:15:00;2;sospechoso;1;1;0.2;Fail;1;0;2;0;SPAM
ventas@megapremios.net;usuario4@gmail.com;¡Premio sorpresa!;Felicidades, ha ganado un premio. Reclámelo aquí: [enlace sospechoso];2024-07-26 14:45:00;4;lista_negra;2;3;0.05;Fail;1;1;7;1;SPAM
amigo@gmail.com;amigo1@gmail.com;Cita;Nos vemos mañana a las 10am en la cafetería.;2024-07-26 16:00:00;0;comun;1;0;0.9;Pass;0;0;0;0;HAM
ofertas@superdescuentos.com;usuario5@hotmail.com,usuario6@outlook.com;¡Descuentos increíbles!;Aproveche estas ofertas irresistibles.  Visite nuestra página web: [enlace sospechoso];2024-07-27 08:00:00;3;sospechoso;2;1;0.15;Fail;1;0;5;0;SPAM
soporte@empresaX.com;usuario7@gmail.com;Problema con su cuenta;Hemos detectado actividad sospechosa en su cuenta. Haga clic aquí: [enlace sospechoso];2024-07-27 09:30:00;2;sospechoso;1;1;0.2;Fail;1;0;3;1;SPAM
ana@gmail.com;juana@gmail.com;Feliz Cumpleaños!;¡Feliz cumpleaños, Juana! Espero que tengas un día maravilloso.;2024-07-27 11:00:00;0;comun;1;0;0.8;Pass;0;0;0;0;HAM
ganapremios@correo.com;usuario8@hotmail.com,usuario9@outlook.com,usuario10@gmail.com;¡Ha ganado un carro!;Usted ha ganado un carro nuevo.  ¡Reclámelo ahora!: [enlace sospechoso];2024-07-27 13:45:00;6;lista_negra;4;4;0.08;Fail;1;1;10;1;SPAM
juan@gmail.com;pedro@gmail.com;Reunion;Nos vemos el lunes a las 2pm en la oficina.;2024-07-27 15:30:00;0;comun;1;0;0.95;Pass;0;0;0;0;HAM
superoferta@correo.co;usuario11@gmail.com,usuario12@hotmail.com;¡Oferta imperdible!;No pierda esta increíble oportunidad. Compre ahora!: [enlace sospechoso];2024-07-28 09:00:00;3;sospechoso;2;2;0.12;Fail;1;0;6;1;SPAM
maria@gmail.com;sofia@gmail.com;Fin de semana!;Que tengas un buen fin de semana, Sofia!;2024-07-28 10:45:00;0;comun;1;0;1.0;Pass;0;0;0;0;HAM
riesgo@seguridad.com;usuario13@outlook.com;Alerta de seguridad;Su cuenta ha sido comprometida. Actúe ahora: [enlace sospechoso];2024-07-28 14:15:00;4;lista_negra;1;1;0.18;Fail;1;0;4;0;SPAM
notificaciones@app.com;usuario14@gmail.com;Actualización de App;Nueva actualización disponible para descargar. ;2024-07-28 16:30:00;1;comun;1;0;0.85;Pass;1;0;1;0;HAM
ofertaslimitadas@promo.com;usuario15@hotmail.com,usuario16@gmail.com,usuario17@outlook.com;¡Últimas horas!;Aproveche estas ofertas antes de que se agoten. ;2024-07-29 08:30:00;3;sospechoso;3;2;0.1;Fail;1;0;5;1;SPAM
carlos@gmail.com;laura@gmail.com;Planeación viaje;Nos vemos el martes para planear el viaje.;2024-07-29 10:00:00;0;comun;1;0;0.98;Pass;0;0;0;0;HAM
premios@grandespremios.co;usuario18@gmail.com,usuario19@hotmail.com;¡Ha ganado!;Ha ganado un premio. ¡Reclámelo aquí!: [enlace sospechoso];2024-07-29 11:45:00;5;lista_negra;2;3;0.06;Fail;1;1;9;1;SPAM
ganahoy@ganamuchascosas.com;usuario20@outlook.com,usuario21@gmail.com;¡Gran oportunidad!;Gane dinero fácilmente. ¡Inscríbase ahora!: [enlace sospechoso];2024-07-29 14:00:00;4;sospechoso;3;2;0.1;Fail;1;1;7;1;SPAM
david@gmail.com;sofia@gmail.com;Reunion de trabajo;Nos reunimos mañana a las 10 AM. Saludos.;2024-07-29 15:45:00;0;comun;1;0;0.92;Pass;0;0;1;0;HAM
mejoroferta@correo.com.co;usuario22@gmail.com;¡Oferta increíble!;No te pierdas esta oportunidad única. ¡Compra ahora!: [enlace sospechoso];2024-07-30 09:15:00;3;sospechoso;2;1;0.15;Fail;1;0;6;0;SPAM
alejandra@gmail.com;pablo@gmail.com;Cita médica;Recuerda tu cita médica para mañana a las 3pm.;2024-07-30 11:30:00;0;comun;1;0;1.0;Pass;0;0;0;0;HAM
superganancias@inversion.com;usuario23@hotmail.com,usuario24@gmail.com,usuario25@outlook.com;¡Invierta ahora!;¡Gane miles de pesos!. Invierta su dinero hoy mismo: [enlace sospechoso];2024-07-30 13:45:00;5;lista_negra;3;3;0.09;Fail;1;1;8;1;SPAM
urgente@seguridadbancaria.com;usuario26@gmail.com;Alerta bancaria;Actividad sospechosa detectada en su cuenta. Verifique aquí: [enlace sospechoso];2024-07-30 16:00:00;4;sospechoso;1;1;0.2;Fail;1;0;4;0;SPAM
pedro@gmail.com;ana@gmail.com;Paseo;Vamos al cine este fin de semana?;2024-07-31 10:30:00;0;comun;1;0;0.97;Pass;0;0;0;0;HAM
granoferta@descuentos.co;usuario27@outlook.com,usuario28@gmail.com;¡No lo pierdas!;Oferta válida por 24 horas. ¡Compre ahora!: [enlace sospechoso];2024-07-31 12:15:00;2;sospechoso;2;2;0.12;Fail;1;0;3;1;SPAM
remitente;destinatarios;asunto;cuerpo;fecha_hora;frecuencia_palabras_spam;reputacion_dominio_remitente;cantidad_destinatarios_visibles;presencia_y_numero_urls;relacion_texto_html;autenticidad_remitente;personalizacion_saludo;adjuntos_peligrosos;uso_simbolos_excesivos;scripts_o_formularios;etiqueta
bancopopular.co;usuario1@gmail.com,usuario2@hotmail.com;Actualiza tu cuenta;Estimado cliente, actualice su información bancaria aquí: [link sospechoso]. ¡Evite el bloqueo!;2024-07-26 10:30:00;5;sospechoso;2;1;0.8;Fail;1;1;3;1;SPAM
ofertaimperdible@gmail.com;ana@gmail.com,pedro@hotmail.com,juan@outlook.com;¡Gane un Millón!;Participe en nuestra rifa y gane $1.000.000. ¡Inscríbase ahora!;2024-07-26 12:15:00;8;lista_negra;3;2;0.9;Fail;1;1;6;1;SPAM
notificaciones@amazon.com.co;cliente@gmail.com;Su pedido ha sido enviado;Estimado cliente, su pedido ha sido enviado. Puede rastrearlo aquí: [link auténtico];2024-07-26 14:45:00;1;comun;1;1;0.2;Pass;0;0;0;0;HAM
soporte@gmail.com;usuario@outlook.com;Problemas con su cuenta;Hemos detectado actividad sospechosa en su cuenta. Inicie sesión aquí: [link sospechoso];2024-07-26 16:20:00;4;sospechoso;1;1;0.7;Fail;1;0;2;1;SPAM
ganapremio@hotmail.com;maria@gmail.com,jose@hotmail.com,luis@yahoo.com;¡Felicidades! ¡Ha ganado!;Ha ganado un premio. Reclámelo aquí: [link sospechoso];2024-07-27 08:00:00;6;lista_negra;3;1;0.9;Fail;1;1;4;1;SPAM
correo@ejemplo.com;juanperez@gmail.com;Re: Reunión de trabajo;Nos vemos mañana a las 10am. Saludos.;2024-07-27 09:15:00;0;comun;1;0;0.1;Pass;0;0;0;0;HAM
ofertasincreibles@yahoo.com;ana@outlook.com,pedro@gmail.com;¡Ofertas increíbles!;Aproveche nuestras ofertas. Compre ahora: [link sospechoso];2024-07-27 11:30:00;7;sospechoso;2;2;0.8;Fail;1;1;5;1;SPAM
tiendaonline@gmail.com;cliente1@gmail.com;Su compra está lista;Puede recoger su compra mañana. Gracias!;2024-07-27 13:45:00;1;comun;1;0;0.3;Pass;0;0;1;0;HAM
consultoriomedico@hotmail.com;paciente@gmail.com;Cita médica;Recuerda tu cita médica para mañana;2024-07-27 15:00:00;0;comun;1;0;0.1;Pass;0;0;0;0;HAM
promociones@empresa.com.co;usuario@hotmail.com;Nueva promoción;Aprovecha nuestra nueva promoción. Detalles aquí: [link];2024-07-27 17:15:00;3;comun;1;1;0.5;Neutral;1;0;2;0;SPAM
avisoslegales@empresa.com.co;cliente@gmail.com;Actualización de términos y condiciones;Lee los nuevos términos y condiciones.;2024-07-28 09:00:00;1;comun;1;0;0.2;Pass;1;0;0;0;HAM
soportetecnico@gmail.com;usuario1@gmail.com;Problema con su equipo;Por favor revise adjunto para solucionar el problema;2024-07-28 10:30:00;2;sospechoso;1;1;0.6;Fail;1;1;1;1;SPAM
infanciafeliz@gmail.com;padres@hotmail.com;Información importante;Información importante para los padres de familia.;2024-07-28 12:00:00;0;comun;1;0;0.1;Pass;0;0;0;0;HAM
premioseguro@outlook.com;usuario@gmail.com,otro@hotmail.com;¡Ha ganado un premio!;Ha ganado un premio. Reclámelo ahora: [link];2024-07-28 14:45:00;6;lista_negra;2;1;0.7;Fail;1;1;4;1;SPAM
noticiascolombia@gmail.com;lector@gmail.com;Noticias de Colombia;Lee las últimas noticias de Colombia;2024-07-28 16:30:00;0;comun;1;0;0.1;Pass;0;0;0;0;HAM
riesgoseguridad@gmail.com;usuario@outlook.com;Alerta de seguridad;Se ha detectado una amenaza en su cuenta. Actualice ahora!;2024-07-29 08:15:00;4;sospechoso;1;1;0.6;Fail;1;0;3;1;SPAM
ganardinero@hotmail.com;usuario1@gmail.com,usuario2@hotmail.com,usuario3@outlook.com;Gane dinero fácil!;Gane dinero fácil desde casa. ¡Inscríbase ahora!;2024-07-29 10:00:00;7;lista_negra;3;2;0.9;Fail;1;1;5;1;SPAM
ofertaslaborales@gmail.com;candidato@gmail.com;Oferta de trabajo;Tenemos una oferta de trabajo para ti;2024-07-29 11:45:00;1;comun;1;0;0.3;Pass;0;0;0;0;HAM
clubvip@gmail.com;miembro@gmail.com;¡Bienvenido al Club VIP!;Disfrute de beneficios exclusivos;2024-07-29 13:30:00;2;sospechoso;1;1;0.4;Fail;1;0;2;0;SPAM
facturacion@empresa.com.co;cliente@gmail.com;Factura No. 12345;Su factura está adjunta;2024-07-29 15:15:00;1;comun;1;1;0.2;Pass;0;1;1;0;HAM
mejorprecio@gmail.com;cliente@hotmail.com;¡El mejor precio!;Encuentra el mejor precio aquí!;2024-07-29 17:00:00;3;sospechoso;1;1;0.5;Fail;1;0;2;0;SPAM
soporte247@gmail.com;cliente@gmail.com;Atención al cliente;Contáctanos para cualquier duda;2024-07-30 09:00:00;0;comun;1;0;0.1;Pass;0;0;0;0;HAM
mejoroferta@hotmail.com;usuario@gmail.com,usuario2@outlook.com;¡Oferta Limitada!;¡Aprovecha esta oferta limitada! ;2024-07-30 10:45:00;4;sospechoso;2;1;0.7;Fail;1;1;3;1;SPAM
correoimportante@gmail.com;usuario@gmail.com;Información importante;Por favor, lee la información adjunta;2024-07-30 12:30:00;2;comun;1;1;0.4;Neutral;0;1;1;0;SPAM
remitente;destinatarios;asunto;cuerpo;fecha_hora;frecuencia_palabras_spam;reputacion_dominio_remitente;cantidad_destinatarios_visibles;presencia_y_numero_urls;relacion_texto_html;autenticidad_remitente;personalizacion_saludo;adjuntos_peligrosos;uso_simbolos_excesivos;scripts_o_formularios;etiqueta
OfertasIncreíbles@ganadinero.com;usuario1@gmail.com,usuario2@hotmail.com,usuario3@yahoo.com;¡Gane Millones!;Gane dinero fácil desde casa. ¡Inscríbase ahora!  Adjunte el formulario para empezar.;2024-03-08 10:30:00;5;sospechoso;3;2;0.2;Fail;1;1;3;0;SPAM
BancoColombia@seguridad.co;cliente1@bancocolombia.com.co;Actualización de Seguridad;Estimado cliente, actualice su información bancaria aquí: [link sospechoso].;2024-03-09 14:45:00;2;sospechoso;1;1;0.8;Fail;1;0;1;0;SPAM
ganamillones@aol.com;usuario4@gmail.com,usuario5@outlook.com;Oferta Exclusiva!;No pierdas esta oportunidad única de ganar mucho dinero. ¡Regístrate ya!;2024-03-10 11:15:00;4;lista_negra;2;3;0.1;Fail;1;1;2;1;SPAM
info@empresa-confiable.com;cliente@empresa.com.co;¡Feliz Cumpleaños!;¡Feliz cumpleaños [Nombre]! Te deseamos un gran día. ;2024-03-11 09:00:00;0;comun;1;0;0.9;Pass;0;0;0;0;HAM
ofertas_especiales@promociones.net;usuario6@hotmail.com,usuario7@gmail.com;¡Gran Remate!;Aprovecha nuestras ofertas increíbles. ¡Compra ahora!;2024-03-12 16:20:00;3;sospechoso;2;1;0.3;Fail;1;0;2;0;SPAM
soporte@tecnologia.com;usuario8@yahoo.com;Problemas con su cuenta;Su cuenta ha sido bloqueada. Haga clic aquí para desbloquearla: [link malicioso];2024-03-13 18:55:00;2;sospechoso;1;1;0.6;Fail;1;0;1;1;SPAM
notificaciones@banco.com.co;ana@gmail.com;Actualizacion de Cuenta;Estimada Ana, actualice su información de cuenta bancaria.;2024-03-14 13:30:00;1;comun;1;0;0.95;Pass;0;0;0;0;HAM
premios@loteria.com.co;juan@outlook.com;¡Felicidades!;Has ganado un premio. Reclámalo aquí: [link];2024-03-15 08:45:00;3;sospechoso;1;2;0.4;Fail;1;0;2;1;SPAM
maria@gmail.com;pedro@gmail.com;Cita Médica;Recuerda tu cita médica para mañana a las 10:00 AM.;2024-03-16 10:00:00;0;comun;1;0;1.0;Pass;0;0;0;0;HAM
